Question_ID,Question,Type,Answer,Path
1,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg1_frame1.jpg
2,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg1_frame2.jpg
3,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg1_frame3.jpg
4,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg1_frame4.jpg
5,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg1_frame5.jpg
6,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg1_frame6.jpg
7,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg1_frame7.jpg
8,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg1_frame8.jpg
9,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg1_frame9.jpg
10,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg1_frame10.jpg
11,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg2_frame1.jpg
12,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg2_frame10.jpg
13,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg2_frame2.jpg
14,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg2_frame3.jpg
15,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg2_frame4.jpg
16,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg2_frame5.jpg
17,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg2_frame6.jpg
18,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg2_frame7.jpg
19,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg2_frame8.jpg
20,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg2_frame9.jpg
21,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg3_frame1.jpg
22,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg3_frame10.jpg
23,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg3_frame2.jpg
24,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg3_frame3.jpg
25,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg3_frame4.jpg
26,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg3_frame5.jpg
27,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg3_frame6.jpg
28,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg3_frame7.jpg
29,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg3_frame8.jpg
30,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg3_frame9.jpg
31,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg4_frame1.jpg
32,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg4_frame10.jpg
33,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg4_frame2.jpg
34,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg4_frame3.jpg
35,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg4_frame4.jpg
36,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg4_frame5.jpg
37,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg4_frame6.jpg
38,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg4_frame7.jpg
39,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg4_frame8.jpg
40,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg4_frame9.jpg
41,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg5_frame1.jpg
42,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg5_frame10.jpg
43,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg5_frame2.jpg
44,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg5_frame3.jpg
45,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg5_frame4.jpg
46,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg5_frame5.jpg
47,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg5_frame6.jpg
48,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg5_frame7.jpg
49,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg5_frame8.jpg
50,Why is the car going straight?,Causal,Because the road is clear.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Go_straight_seg5_frame9.jpg
51,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg1_frame1.jpg
52,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg1_frame10.jpg
53,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg1_frame2.jpg
54,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg1_frame3.jpg
